study,treatment,responders,sampleSize
1,1,60,2100
2,1,316,7339
3,1,146,3485
4,1,278,8212
5,1,240,4732
6,1,493,7396
7,1,339,4672
8,1,64,1649
9,1,261,3024
10,1,158,2747
11,1,126,2333
1,2,52,2092
2,2,300,7332
3,2,165,3494
4,2,265,8280
5,3,181,4731
6,3,483,7356
7,3,292,4668
8,3,47,1648
9,3,270,3034
10,4,330,5499
11,4,223,4687
