study,treatment,responders,sampleSize
1,1,34,2100
2,1,183,7339
3,1,4,126
4,1,88,3485
5,1,141,8212
6,1,108,4732
7,1,218,7396
8,1,199,4672
9,1,44,1649
10,1,60,3024
11,1,87,2747
12,1,69,2333
1,2,32,2092
2,2,178,7332
3,2,1,128
4,2,81,3494
5,2,157,8280
6,3,94,4731
7,3,187,7356
8,3,173,4668
9,3,27,1648
10,3,67,3034
11,4,185,5499
12,4,164,4687
